0.0598,0.0576,0.0509,0.0538,0.0453,0.045,0.0599,0.0401,0.0653,0.0553,0.0496,0.0585,0.0643,0.0565,0.0581,0.075,0.049,0.0543,0.0625,0.0535,0.055
0.7374,0.7938,0.538,0.5336,0.8126,0.7219,0.9291,0.6191,0.9068,0.7037,0.6009,0.659,0.8879,0.7361,0.7886,0.7217,0.5822,0.8933,0.6845,0.6098,0.6551
1.5764,1.5734,1.5927,1.5987,1.5691,1.6397,1.6722,1.5789,1.8432,1.4622,1.1953,1.1164,1.4624,1.7588,1.9951,1.5144,1.4899,1.6625,1.7164,1.2377,1.358
5.3066,5.4679,5.0316,4.1842,5.6009,4.0839,4.562,3.573,4.7293,5.2084,4.4611,5.54,5.7176,6.7868,6.9574,6.9486,4.1267,5.047,5.6741,4.4096,4.7316
0,0.0048,0.0048,0.0025,0.0046,0.0001,0.0051,0.0002,0.0001,0.0062,0.0017,0.005,0.0035,0.0032,0.0012,0.0026,0.0029,0.0054,0.0038,0.0021,0.0053
0.964,1.3142,0.9078,0.9442,0.9556,0.8423,0.9942,0.6803,1.0546,1.1209,0.9573,0.9781,1.1448,1.0338,1.1895,1.2919,0.7378,1.102,1.1024,0.7962,1.0576
0,0.0069,0.004,0.0031,0.0011,0.0025,0.0002,0.0033,0.0016,0.0013,0.0016,0.0028,0.0067,0.0068,0.0041,0.0043,0.0003,0.0011,0.0062,0.0001,0
1.3586,1.2783,1.3841,1.1048,1.4634,1.2123,1.5403,0.9326,1.4346,1.8138,1.3635,1.2147,1.2905,1.6126,1.3395,1.2852,1.3189,1.2397,1.5414,1.2209,1.3129
1.2788,1.7008,1.1643,1.2684,1.3157,1.1635,1.3408,1.039,1.3901,1.4769,0.9881,0.9181,1.157,1.637,1.5503,1.3068,0.9289,1.4545,1.1771,1.362,1.3233
0.0846,0.0848,0.0692,0.0895,0.0849,0.077,0.0942,0.0668,0.0776,0.1087,0.0701,0.0822,0.0972,0.08,0.0876,0.0837,0.0738,0.0958,0.0894,0.0824,0.0829
0,0.0074,0.0057,0.0007,0.0038,0.0033,0.0043,0.0038,0.0026,0.0023,0.002,0.0044,0.0017,0.0002,0.0046,0.0031,0.0035,0.0045,0.0058,0.0009,0.0007
1.9596,2.0886,1.5221,1.4219,2.1332,1.8329,2.067,1.5534,2.0739,1.9876,1.7833,1.7884,2.2095,1.8167,1.9743,2.6006,1.3457,1.8262,2.0874,1.6228,1.9731
6.8761,7.0171,5.5316,5.9679,7.2741,6.3683,6.056,5.3622,7.0458,8.4402,5.9446,5.7569,8.1176,8.0337,7.7137,6.6373,5.1074,8.2697,8.1804,7.0377,5.3585
3.4413,4.641,3.4306,2.5457,3.5515,3.5346,4.0228,3.0911,4.4719,3.9393,2.469,3.0294,3.7411,4.1058,4.2775,4.6501,2.3741,3.8332,3.4119,3.4416,3.3044
1.0642,1.3704,1.0374,0.8106,0.9712,0.9,1.2534,0.9223,1.1739,1.1053,0.8915,0.95,1.2469,1.2092,1.2566,1.441,1.0058,1.3299,0.9595,1.1017,1.1258
0.2818,0.3775,0.2182,0.2113,0.32,0.2654,0.2913,0.2118,0.2736,0.2596,0.2526,0.2437,0.3488,0.283,0.2854,0.2944,0.2615,0.3196,0.3011,0.3034,0.2335
0.4699,0.5853,0.4572,0.376,0.4671,0.4469,0.4144,0.3744,0.4807,0.4596,0.3421,0.3557,0.5916,0.5359,0.5619,0.4412,0.3802,0.4505,0.5583,0.3776,0.3834
0,0.0065,0.0035,0.0012,0.0022,0.0012,0.0066,0.0011,0.006,0.0058,0.0012,0.0037,0.0051,0.0003,0.0024,0.0035,0.0037,0.0003,0.0014,0.0031,0.0002
0.0065,0.0124,0.0101,0.0082,0.006,0.0081,0.0117,0.0057,0.0102,0.0097,0.009,0.0084,0.0076,0.0116,0.0067,0.0103,0.0049,0.0058,0.0078,0.0064,0.0098
